Start,Stop,Type,Bus,Year,Month,Week,Hour,Counts
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","1","Mon","10","13"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","2","Mon","10","3"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","3","Mon","10","6"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","4","Mon","10","6"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","5","Mon","10","3"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","1","Mon","11","16"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","2","Mon","11","6"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","3","Mon","11","6"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","4","Mon","11","6"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","5","Mon","11","5"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","1","Mon","12","7"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","2","Mon","12","14"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","3","Mon","12","4"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","4","Mon","12","9"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","5","Mon","12","4"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","1","Mon","13","6"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","2","Mon","13","9"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","3","Mon","13","9"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","4","Mon","13","4"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","5","Mon","13","8"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","1","Mon","14","1"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","2","Mon","14","10"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","3","Mon","14","7"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","4","Mon","14","3"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","5","Mon","14","2"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","1","Mon","15","7"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","2","Mon","15","9"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","3","Mon","15","6"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","4","Mon","15","5"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","1","Mon","16","6"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","2","Mon","16","5"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","3","Mon","16","11"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","4","Mon","16","11"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","5","Mon","16","10"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","1","Mon","17","10"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","2","Mon","17","4"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","3","Mon","17","6"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","4","Mon","17","7"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","5","Mon","17","3"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","1","Mon","18","6"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","2","Mon","18","2"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","3","Mon","18","10"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","4","Mon","18","1"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","1","Mon","19","11"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","2","Mon","19","7"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","3","Mon","19","5"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","4","Mon","19","9"
"臺中火車站","國立臺中科技大學","代幣全","B55","2015","5","Mon","19","4"
