Start,Stop,Type,Bus,Year,Month,Week,Hour,Counts
"臺中火車站","國立臺中科技大學","代幣全","B58","2015","10","Sat","6","1"
"臺中火車站","國立臺中科技大學","代幣全","B58","2016","4","Sat","6","1"
"臺中火車站","國立臺中科技大學","代幣全","B58","2016","8","Sat","6","1"
"臺中火車站","國立臺中科技大學","代幣全","B58","2015","1","Sat","7","4"
"臺中火車站","國立臺中科技大學","代幣全","B58","2015","3","Sat","7","1"
"臺中火車站","國立臺中科技大學","代幣全","B58","2015","4","Sat","7","2"
"臺中火車站","國立臺中科技大學","代幣全","B58","2015","5","Sat","7","1"
"臺中火車站","國立臺中科技大學","代幣全","B58","2015","6","Sat","7","1"
"臺中火車站","國立臺中科技大學","代幣全","B58","2015","7","Sat","7","2"
"臺中火車站","國立臺中科技大學","代幣全","B58","2015","8","Sat","7","3"
"臺中火車站","國立臺中科技大學","代幣全","B58","2015","10","Sat","7","5"
"臺中火車站","國立臺中科技大學","代幣全","B58","2015","12","Sat","7","2"
"臺中火車站","國立臺中科技大學","代幣全","B58","2016","1","Sat","7","2"
"臺中火車站","國立臺中科技大學","代幣全","B58","2016","7","Sat","7","1"
"臺中火車站","國立臺中科技大學","代幣全","B58","2016","11","Sat","7","1"
"臺中火車站","國立臺中科技大學","代幣全","B58","2016","12","Sat","7","1"
"臺中火車站","國立臺中科技大學","代幣全","B58","2015","1","Sat","8","3"
"臺中火車站","國立臺中科技大學","代幣全","B58","2015","2","Sat","8","2"
"臺中火車站","國立臺中科技大學","代幣全","B58","2015","3","Sat","8","6"
"臺中火車站","國立臺中科技大學","代幣全","B58","2015","4","Sat","8","5"
"臺中火車站","國立臺中科技大學","代幣全","B58","2015","5","Sat","8","4"
"臺中火車站","國立臺中科技大學","代幣全","B58","2015","6","Sat","8","5"
"臺中火車站","國立臺中科技大學","代幣全","B58","2015","7","Sat","8","3"
"臺中火車站","國立臺中科技大學","代幣全","B58","2015","8","Sat","8","7"
"臺中火車站","國立臺中科技大學","代幣全","B58","2015","9","Sat","8","2"
"臺中火車站","國立臺中科技大學","代幣全","B58","2015","10","Sat","8","5"
"臺中火車站","國立臺中科技大學","代幣全","B58","2015","12","Sat","8","1"
"臺中火車站","國立臺中科技大學","代幣全","B58","2016","1","Sat","8","2"
"臺中火車站","國立臺中科技大學","代幣全","B58","2016","2","Sat","8","3"
"臺中火車站","國立臺中科技大學","代幣全","B58","2016","3","Sat","8","4"
"臺中火車站","國立臺中科技大學","代幣全","B58","2016","4","Sat","8","1"
"臺中火車站","國立臺中科技大學","代幣全","B58","2016","6","Sat","8","1"
"臺中火車站","國立臺中科技大學","代幣全","B58","2016","7","Sat","8","1"
"臺中火車站","國立臺中科技大學","代幣全","B58","2016","8","Sat","8","3"
"臺中火車站","國立臺中科技大學","代幣全","B58","2016","9","Sat","8","2"
"臺中火車站","國立臺中科技大學","代幣全","B58","2016","11","Sat","8","2"
"臺中火車站","國立臺中科技大學","代幣全","B58","2016","12","Sat","8","3"
"臺中火車站","國立臺中科技大學","代幣全","B58","2015","1","Sat","9","9"
"臺中火車站","國立臺中科技大學","代幣全","B58","2015","2","Sat","9","7"
"臺中火車站","國立臺中科技大學","代幣全","B58","2015","3","Sat","9","8"
"臺中火車站","國立臺中科技大學","代幣全","B58","2015","4","Sat","9","3"
"臺中火車站","國立臺中科技大學","代幣全","B58","2015","5","Sat","9","6"
"臺中火車站","國立臺中科技大學","代幣全","B58","2015","6","Sat","9","11"
"臺中火車站","國立臺中科技大學","代幣全","B58","2015","8","Sat","9","4"
"臺中火車站","國立臺中科技大學","代幣全","B58","2015","10","Sat","9","1"
